"Live births: Länder, years, sex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birth statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live births (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Länder
Sex",,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
,Female,"14,160",e,"8,535",e,"6,525",e,"5,878",e,"6,080",e,"6,589",e,"7,288",e,"8,005",e,"8,310",e,"8,783",e,"8,983",e,"8,617",e,"8,537",e,"8,694",e,"8,889",e,"8,785",e,"8,625",e,"9,042",e,"9,248",e,"9,003",e,"9,123",e,"8,988",e,"9,064",e,"8,956",e,"9,382",e,"9,212",e,"10,187",e,"9,926",e,"9,616",e,"9,373",e,"9,187",e,"9,270",e,"8,461",e,"7,749",e,"7,246",e,"7,030",p
,Total,"29,238",e,"17,215",e,"13,469",e,"12,238",e,"12,443",e,"13,494",e,"15,140",e,"16,370",e,"17,146",e,"17,928",e,"18,444",e,"17,692",e,"17,704",e,"17,970",e,"18,148",e,"17,910",e,"17,883",e,"18,589",e,"18,808",e,"18,537",e,"18,954",e,"18,279",e,"18,482",e,"18,355",e,"19,339",e,"19,112",e,"20,934",e,"20,337",e,"19,881",e,"19,329",e,"18,998",e,"19,029",e,"17,439",e,"15,885",e,"15,154",e,"14,495",p
Bremen,Male,"3,588",e,"3,505",e,"3,491",e,"3,476",e,"3,240",e,"3,245",e,"3,474",e,"3,420",e,"3,258",e,"3,091",e,"3,120",e,"2,982",e,"2,853",e,"2,837",e,"2,814",e,"2,894",e,"2,903",e,"2,865",e,"2,825",e,"2,837",e,"2,874",e,"2,800",e,"2,874",e,"2,954",e,"3,244",e,"3,341",e,"3,683",e,"3,615",e,"3,655",e,"3,788",e,"3,540",e,"3,589",e,"3,473",e,"3,393",e,"3,210",e,"3,077",p
,Female,"3,307",e,"3,284",e,"3,266",e,"3,180",e,"3,048",e,"3,184",e,"3,149",e,"3,224",e,"3,102",e,"3,005",e,"2,950",e,"2,849",e,"2,631",e,"2,740",e,"2,628",e,"2,595",e,"2,603",e,"2,726",e,"2,744",e,"2,644",e,"2,725",e,"2,588",e,"2,765",e,"2,795",e,"2,967",e,"3,168",e,"3,453",e,"3,385",e,"3,508",e,"3,361",e,"3,428",e,"3,382",e,"3,247",e,"3,222",e,"3,041",e,"3,071",p
,Total,"6,895",e,"6,789",e,"6,757",e,"6,656",e,"6,288",e,"6,429",e,"6,623",e,"6,644",e,"6,360",e,"6,096",e,"6,070",e,"5,831",e,"5,484",e,"5,577",e,"5,442",e,"5,489",e,"5,506",e,"5,591",e,"5,569",e,"5,481",e,"5,599",e,"5,388",e,"5,639",e,"5,749",e,"6,211",e,"6,509",e,"7,136",e,"7,000",e,"7,163",e,"7,149",e,"6,968",e,"6,971",e,"6,720",e,"6,615",e,"6,251",e,"6,148",p
Hamburg,Male,"8,689",e,"8,497",e,"8,448",e,"8,300",e,"8,338",e,"8,182",e,"8,605",e,"8,715",e,"8,228",e,"8,226",e,"8,326",e,"8,082",e,"8,045",e,"8,224",e,"8,266",e,"8,233",e,"8,344",e,"8,636",e,"8,583",e,"8,657",e,"8,923",e,"8,763",e,"9,195",e,"9,226",e,"9,673",e,"10,116",e,"10,912",e,"10,901",e,"10,911",e,"10,674",e,"10,556",e,"10,760",e,"9,780",e,"9,311",e,"8,980",e,"8,976",p
,Female,"8,004",e,"8,006",e,"8,049",e,"7,957",e,"7,863",e,"7,690",e,"7,989",e,"8,255",e,"8,007",e,"7,808",e,"7,833",e,"7,704",e,"7,662",e,"7,692",e,"7,837",e,"7,946",e,"7,745",e,"8,091",e,"8,168",e,"8,122",e,"8,454",e,"8,362",e,"8,511",e,"8,911",e,"9,366",e,"9,652",e,"10,568",e,"10,232",e,"10,215",e,"10,266",e,"9,875",e,"10,258",e,"9,274",e,"8,953",e,"8,573",e,"8,661",p
,Total,"16,693",e,"16,503",e,"16,497",e,"16,257",e,"16,201",e,"15,872",e,"16,594",e,"16,970",e,"16,235",e,"16,034",e,"16,159",e,"15,786",e,"15,707",e,"15,916",e,"16,103",e,"16,179",e,"16,089",e,"16,727",e,"16,751",e,"16,779",e,"17,377",e,"17,125",e,"17,706",e,"18,137",e,"19,039",e,"19,768",e,"21,480",e,"21,133",e,"21,126",e,"20,940",e,"20,431",e,"21,018",e,"19,054",e,"18,264",e,"17,553",e,"17,637",p
Hessen,Male,"31,815",e,"31,426",e,"31,213",e,"31,583",e,"31,008",e,"30,826",e,"32,090",e,"32,434",e,"31,087",e,"30,322",e,"30,113",e,"29,008",e,"28,457",e,"27,776",e,"27,840",e,"27,315",e,"26,225",e,"27,095",e,"26,525",e,"26,083",e,"26,392",e,"26,366",e,"26,545",e,"26,626",e,"27,817",e,"29,308",e,"30,981",e,"31,240",e,"31,347",e,"30,947",e,"30,520",e,"31,854",e,"29,342",e,"27,610",e,"27,406",e,"26,509",p
,Female,"30,211",e,"29,898",e,"29,933",e,"30,027",e,"29,557",e,"29,032",e,"30,301",e,"30,690",e,"29,480",e,"28,674",e,"28,704",e,"27,220",e,"26,867",e,"26,624",e,"26,492",e,"26,054",e,"25,179",e,"25,521",e,"25,227",e,"24,661",e,"25,350",e,"25,113",e,"25,062",e,"25,559",e,"26,814",e,"27,581",e,"29,750",e,"29,748",e,"29,665",e,"29,115",e,"28,869",e,"29,692",e,"28,018",e,"26,075",e,"25,683",e,"25,230",p
