city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Ulm,Ulm,48.3984,9.9916,Germany,DE,DEU,Baden-Württemberg,minor,129942,1276002212
Pforzheim,Pforzheim,48.8909,8.703,Germany,DE,DEU,Baden-Württemberg,minor,128992,1276732622
Wolfsburg,Wolfsburg,52.4231,10.7872,Germany,DE,DEU,Lower Saxony,minor,127256,1276033981
Göttingen,Gottingen,51.5339,9.9356,Germany,DE,DEU,Lower Saxony,minor,120261,1276211234
Bottrop,Bottrop,51.5232,6.9253,Germany,DE,DEU,North Rhine-Westphalia,minor,118705,1276473363
Reutlingen,Reutlingen,48.4833,9.2167,Germany,DE,DEU,Baden-Württemberg,minor,118528,1276256795
Erlangen,Erlangen,49.5925,11.005,Germany,DE,DEU,Bavaria,minor,117806,1276339482
Koblenz,Koblenz,50.3597,7.5978,Germany,DE,DEU,Rhineland-Palatinate,minor,115298,1276605495
Bremerhaven,Bremerhaven,53.55,8.5833,Germany,DE,DEU,Bremen,,114677,1276991229
Remscheid,Remscheid,51.1799,7.1944,Germany,DE,DEU,North Rhine-Westphalia,minor,112970,1276043920
Trier,Trier,49.7557,6.6394,Germany,DE,DEU,Rhineland-Palatinate,minor,112737,1276211430
Bergisch Gladbach,Bergisch Gladbach,50.9917,7.1367,Germany,DE,DEU,North Rhine-Westphalia,minor,112660,1276074373
Recklinghausen,Recklinghausen,51.6167,7.2,Germany,DE,DEU,North Rhine-Westphalia,minor,111693,1276179876
Jena,Jena,50.9272,11.5864,Germany,DE,DEU,Thuringia,minor,110791,1276659978
Moers,Moers,51.4592,6.6197,Germany,DE,DEU,North Rhine-Westphalia,,105606,1276257182
Salzgitter,Salzgitter,52.1503,10.3593,Germany,DE,DEU,Lower Saxony,minor,105039,1276613066
Hanau,Hanau,50.1328,8.9169,Germany,DE,DEU,Hesse,minor,103184,1276550409
Gütersloh,Gutersloh,51.9,8.3833,Germany,DE,DEU,North Rhine-Westphalia,minor,102464,1276587494
Hildesheim,Hildesheim,52.15,9.95,Germany,DE,DEU,Lower Saxony,minor,102325,1276244190
Siegen,Siegen,50.8756,8.0167,Germany,DE,DEU,North Rhine-Westphalia,minor,102114,1276268768
Kaiserslautern,Kaiserslautern,49.4447,7.7689,Germany,DE,DEU,Rhineland-Palatinate,minor,101486,1276674534
Cottbus,Cottbus,51.7608,14.3319,Germany,DE,DEU,Brandenburg,minor,100010,1276436655
Flensburg,Flensburg,54.7819,9.4367,Germany,DE,DEU,Schleswig-Holstein,minor,99307,1276853315
Schwerin,Schwerin,53.6289,11.415,Germany,DE,DEU,Mecklenburg-Western Pomerania,admin,98733,1276221707
Esslingen,Esslingen,48.7406,9.3108,Germany,DE,DEU,Baden-Württemberg,minor,95881,1276510955
Witten,Witten,51.4333,7.3333,Germany,DE,DEU,North Rhine-Westphalia,,95724,1276004960
Gießen,Giessen,50.5833,8.6667,Germany,DE,DEU,Hesse,minor,94996,1276576770
Ludwigsburg,Ludwigsburg,48.8975,9.1919,Germany,DE,DEU,Baden-Württemberg,minor,94859,1276803720
Gera,Gera,50.8782,12.0824,Germany,DE,DEU,Thuringia,minor,94847,1276548165
Tübingen,Tubingen,48.52,9.0556,Germany,DE,DEU,Baden-Württemberg,minor,93615,1276203240
Düren,Duren,50.8032,6.4821,Germany,DE,DEU,North Rhine-Westphalia,minor,93323,1276181957
Iserlohn,Iserlohn,51.3833,7.6667,Germany,DE,DEU,North Rhine-Westphalia,,92404,1276837267
Villingen-Schwenningen,Villingen-Schwenningen,48.0632,8.493,Germany,DE,DEU,Baden-Württemberg,minor,89145,1276450523
Zwickau,Zwickau,50.7189,12.4961,Germany,DE,DEU,Saxony,minor,87593,1276683623
Ratingen,Ratingen,51.3,6.85,Germany,DE,DEU,North Rhine-Westphalia,,87513,1276005433
Lünen,Lunen,51.6167,7.5167,Germany,DE,DEU,North Rhine-Westphalia,,87266,1276959723
